12.0    -49.5
15.0    -42.4
24.5    -64.8
35.2    -28.7
38.9    -30.3
48.4    -16.0
49.0    -23.0
59.8    -68.5
62.0    -15.4
68.9    -38.7
79.8    -10.8
81.3    -62.5
82.3    -79.2
86.5    -33.4
86.8    -21.6
261.8   -60.2
277.6   -25.6
288.3   -21.7
306.1   -44.8
307.9   -31.7
315.9   -36.3
321.3   -41.0
324.3   -26.4
328.1   -12.3
334.6   -29.5
335.3   -22.0
337.2   -38.9
337.6   -54.9
342.2   -17.3
344.3   -11.7
345.6   -22.4
345.8   -69.1
347.3   -21.8
349.7   -68.4
350.1   -15.2
98.6	-15.9
103.3	-14.0
110.2	-56.0
120.7	-50.6
129.2	-39.8
94.8	-81.2
145.1	-73.3
169.2	-39.8
255.2	-32.9
250.8	-41.9
240.0	-54.6
313.7	-64.8
300.5	-60.2
9.4	-19.6
4.9	-22.7
13.4	-11.4
2.3	-10.2
358.0	-10.1
28.2	-6.2
92.6	-4.0
358.0	-6.7
310.9	-5.1
304.6	-4.3
31.4	-5.5
63.9	-3.9
68.9	-6.0
228.6	-13.7
213.7	-13.1
183.3	-27.4
183.7	-8.7
17.7	-51.8
354.8	43.2
356.2	32.8
352.8	19.9
14.9	9.1
19.5	6.3
21.1	5.4
22.0	7.5
10.9	30.7
13.7	32.1
333.9	59.8
34.4	24.5
60.5	18.5
59.5	27.1
78.7	19.9
85.7	26.1
88.3	44.8
100.2	29.2
31.7	60.2
26.8	15.6
18.1	16.0
1.1	14.0
5.5	20.0
287.5	38.9
259.6	17.9
258.8	21.1
251.3	25.3
238.5	21.4
220.7	24.3
201.9	18.4
315.1	63.3
22.6	65.1
315.4	74.4
332.3	75.2
170.4	30.0
165.0	71.4
151.8	51.8
149.7	54.3
145.5	64.8
135.6	42.2
135.9	61.4
141.6	11.6
99.1	33.9
14.9	20.9
8.6	10.4
352.2	16.3
353.7	16.5
354.1	16.1
352.2	17.7
351.3	18.4
5.3	35.8
350.6	40.0
33.8	25.1
